,pKi
1067,6.94
1068,7.09
1069,7.28
1070,7.72
1071,8.79
1072,8.11
1073,8.72
1074,7.95
1075,8.11
1076,8.68
1077,8.52
1078,6.85
1079,7.32
1080,7.23
1081,5.53
1082,7.09
1083,7.0
1084,7.73
1085,7.66
1086,6.77
1087,7.7
1088,9.09
1089,7.7
1090,6.84
1091,7.06
1092,7.75
1093,7.5
1094,7.52
1095,7.77
1096,7.8
1097,7.04
1098,6.53
1099,6.01
1100,5.63
1101,4.44
1102,5.97
1103,5.23
1104,5.84
1105,5.08
1106,6.92
1107,6.45
1108,5.7
1109,5.82
1110,5.92
1111,6.07
1112,5.16
1113,7.96
1114,6.85
1115,7.39
1116,7.04
1117,7.39
1118,6.72
1119,6.85
1120,7.0
1121,5.56
1122,6.57
1123,6.74
1124,6.51
1125,7.14
1126,6.83
1127,8.57
1128,8.7
1129,7.92
1130,7.85
1131,6.87
1132,8.44
1133,7.96
1134,9.0
1135,7.68
1136,7.25
1137,8.19
1138,7.93
1139,7.88
1140,8.04
1141,7.84
1142,7.07
1143,7.31
1144,7.14
1145,6.42
1146,7.1
1147,4.89
1148,4.87
1149,5.09
1150,4.91
1151,4.89
1152,4.99
1153,4.95
1154,8.89
1155,8.89
1156,7.01
1157,6.6
1158,6.81
1159,6.92
1160,6.71
1161,6.83
1162,6.29
1163,7.0
1164,7.05
1165,6.44
1166,8.0
1167,8.28
1168,8.07
1169,8.26
1170,8.05
1171,8.11
1172,4.52
1173,4.63
1174,5.33
1175,5.24
1176,5.06
1177,5.14
1178,7.68
1179,6.82
1180,6.91
1181,7.18
1182,7.23
1183,7.96
1184,7.04
1185,7.46
1186,7.8
1187,8.1
1188,8.15
1189,7.85
1190,8.74
1191,8.64
1192,8.54
1193,8.13
1194,8.11
1195,6.92
1196,6.69
1197,7.22
1198,7.24
1199,7.4
1200,7.85
1201,7.52
1202,6.41
1203,6.76
1204,7.26
1205,6.81
1206,6.35
1207,7.16
1208,7.67
1209,8.28
1210,6.42
1211,7.21
1212,7.0
1213,6.05
1214,8.12
1215,7.44
1216,7.85
1217,8.17
1218,7.96
1219,8.13
1220,6.67
1221,7.55
1222,6.98
1223,7.68
1224,7.55
1225,6.66
1226,8.48
1227,9.72
1228,7.23
1229,8.26
1230,7.23
1231,8.26
1232,7.7
1233,7.05
1234,7.7
1235,7.4
1236,8.0
1237,7.16
1238,9.22
1239,9.37
1240,8.88
1241,7.3
1242,8.32
1243,8.4
1244,8.05
1245,7.96
1246,8.7
1247,8.4
1248,7.92
1249,7.77
1250,7.82
1251,7.21
1252,7.57
1253,6.72
1254,7.4
1255,7.24
1256,7.57
1257,7.85
1258,8.7
1259,8.52
1260,8.22
1261,8.1
1262,7.46
1263,7.21
1264,7.12
1265,7.57
1266,7.8
1267,7.24
1268,6.56
1269,7.64
1270,8.52
1271,8.22
1272,7.36
1273,8.52
1274,9.15
1275,7.69
1276,7.38
1277,5.87
1278,7.09
1279,7.03
1280,6.24
1281,7.17
1282,7.17
1283,7.51
1284,7.13
1285,6.62
1286,7.53
1287,6.96
1288,6.6
1289,8.09
1290,7.68
1291,6.11
1292,5.47
1293,5.43
1294,7.28
1295,7.92
1296,7.77
1297,8.15
1298,7.3
1299,7.82
1300,7.75
1301,7.48
1302,8.12
1303,8.43
1304,6.96
1305,6.67
1306,6.81
1307,7.05
1308,6.28
1309,7.03
1310,7.34
1311,6.42
1312,5.89
1313,5.88
1314,7.69
1315,7.29
1316,7.28
1317,6.99
1318,7.56
1319,6.3
1320,5.6
1321,6.11
1322,5.29
1323,7.17
1324,8.1
1325,7.11
1326,7.74
1327,7.8
1328,8.1
1329,8.24
1330,8.74
1331,8.7
1332,8.52
1333,9.0
1334,9.0
1335,8.52
1336,9.0
1337,9.0
1338,9.0
1339,7.25
1340,7.16
1341,7.24
1342,8.03
1343,7.23
1344,5.52
1345,5.8
1346,5.75
1347,5.96
1348,5.6
1349,7.51
1350,6.24
1351,6.05
1352,7.31
1353,7.31
1354,6.25
1355,6.31
1356,5.95
1357,5.4
1358,5.48
1359,4.65
1360,5.43
1361,5.5
1362,5.76
1363,4.65
1364,7.38
1365,7.93
1366,7.41
1367,7.09
1368,7.13
1369,7.83
1370,8.4
1371,8.19
1372,8.33
1373,8.55
1374,8.46
1375,8.27
1376,8.26
1377,6.53
1378,8.54
1379,8.43
1380,8.43
1381,6.05
1382,6.12
1383,6.02
1384,5.8
1385,7.31
1386,6.82
1387,7.72
1388,7.51
1389,6.91
1390,6.72
1391,6.34
1392,6.31
1393,5.19
1394,4.75
1395,4.65
1396,5.25
1397,5.46
1398,5.1
1399,5.34
1400,5.01
1401,7.96
1402,8.21
1403,6.77
1404,7.53
1405,5.34
1406,5.93
1407,5.99
1408,6.0
1409,5.19
1410,5.26
1411,5.57
1412,5.41
1413,6.4
1414,6.52
1415,5.55
1416,6.7
1417,5.79
1418,4.72
1419,4.66
1420,6.21
1421,5.39
1422,5.61
1423,5.27
1424,5.37
1425,5.4
1426,5.66
1427,5.37
1428,5.8
1429,5.76
1430,7.36
1431,5.67
1432,6.71
1433,6.7
1434,6.8
1435,7.19
1436,7.31
1437,7.89
1438,7.21
1439,6.72
1440,6.54
1441,6.02
1442,5.39
1443,4.71
1444,4.6
1445,6.71
1446,6.9
1447,5.66
1448,5.85
1449,7.52
1450,6.83
1451,6.82
1452,7.96
1453,8.31
1454,8.19
1455,8.12
1456,7.91
1457,9.0
1458,8.46
1459,8.26
1460,8.22
1461,7.33
1462,6.94
1463,6.67
1464,6.88
1465,7.15
1466,7.28
1467,7.4
1468,6.71
1469,8.38
1470,7.25
1471,7.8
1472,8.69
1473,8.5
