,molecule_chembl_id,Ki,units,pKi,smiles
2229,CHEMBL1672614,197.0,nM,6.71,CC(C)C(=O)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1
2230,CHEMBL1672615,140.0,nM,6.85,O=C(Nc1cnc(-c2ccncc2)c(-c2ccco2)n1)C1CCC1
2231,CHEMBL1672616,145.0,nM,6.84,O=C(Nc1cnc(-c2ccncc2)c(-c2ccco2)n1)C1CCCC1
2232,CHEMBL1672618,105.0,nM,6.98,O=C(CC1CCCC1)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1
2233,CHEMBL1672619,1.2,nM,8.92,Cc1ccc(-c2nc(NC(=O)C3CC3)cnc2-c2ccncc2)o1
2234,CHEMBL1672620,312.0,nM,6.51,O=C(Nc1cnc(-c2ccncc2)c(-c2ccccn2)n1)C1CC1
2235,CHEMBL1672621,312.0,nM,6.51,O=C(Nc1cnc(-c2ccncc2)c(-c2cccnc2)n1)C1CC1
2236,CHEMBL1672622,312.0,nM,6.51,O=C(Nc1cnc(-c2ccncc2)c(-c2ccncc2)n1)C1CC1
2237,CHEMBL1672623,51.0,nM,7.29,O=C(Nc1cnc(-c2ccncc2)c(-c2ccccc2F)n1)C1CC1
2238,CHEMBL1672624,879.0,nM,6.06,O=C(Nc1cnc(-c2ccncc2)c(-c2ncco2)n1)C1CC1
2239,CHEMBL1672625,634.0,nM,6.2,O=C(Nc1cnc(-c2ccncc2)c(-c2cnco2)n1)C1CC1
2240,CHEMBL1672626,111.0,nM,6.96,O=C(Nc1cnc(-c2ccncn2)c(-c2ccco2)n1)C1CC1
2241,CHEMBL1672630,1313.0,nM,5.88,O=C(Nc1cnc(-c2ccncc2F)c(-c2ccncc2)n1)C1CC1
2242,CHEMBL1672631,101.0,nM,7.0,O=C(Nc1cnc(-c2ccncc2F)c(-c2ccccc2F)n1)C1CC1
2243,CHEMBL1672632,408.0,nM,6.39,O=C(Nc1cnc(-c2ccncc2F)c(-c2ncco2)n1)C1CC1
