,pKi,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
708,7.57,0.4210526315789473,9,1,4,10,29,5,92.07,0.6802499209569188,1.5885399999999996,2.6497112607241906,0,1,1,0,3,3,0,1,1
709,6.88,0.3529411764705882,10,1,4,10,27,5,97.0,0.6796334134679314,0.0339000000000002,2.6181995743015065,0,1,1,0,3,3,0,1,1
710,7.62,0.3,7,1,4,8,28,5,74.25,0.7165744104699023,2.4530000000000003,2.3631771506664165,0,1,1,0,3,3,0,1,1
711,7.29,0.3684210526315789,8,1,4,9,28,5,87.39,0.7057827384122423,2.35442,2.607870792525912,0,1,1,0,3,3,0,1,1
712,7.92,0.4285714285714285,9,1,4,9,30,5,92.32,0.6892453527764654,2.03346,2.5873375621499566,0,1,1,0,3,3,0,1,1
713,7.85,0.4,9,1,4,9,29,5,92.32,0.7031781761850968,1.7250399999999992,2.636832669435961,0,1,1,0,3,3,0,1,1
714,6.87,0.3684210526315789,9,1,4,9,28,5,92.32,0.7143754078602602,1.416619999999999,2.574096433551551,0,1,1,0,3,3,0,1,1
715,8.62,0.4782608695652174,9,1,4,9,32,7,92.32,0.6075417096336706,2.8120600000000007,3.1937663517768358,0,1,1,0,3,3,0,1,1
716,8.68,0.3684210526315789,8,1,3,8,27,6,89.08,0.7195626379588788,2.7377600000000006,2.620394884914944,0,0,0,0,3,3,0,0,0
717,8.68,0.4782608695652174,9,1,4,9,32,7,92.32,0.6074389235850887,2.6695600000000006,3.186117121007605,0,1,1,0,3,3,0,1,1
718,7.96,0.4782608695652174,9,1,4,9,32,7,92.32,0.6074389235850887,2.6695600000000006,3.186117121007605,0,1,1,0,3,3,0,1,1
719,8.36,0.5,9,1,4,9,33,8,92.32,0.5621636162495083,3.202160000000001,3.250777366937827,0,1,1,0,3,3,0,1,1
720,8.6,0.4545454545454545,9,2,4,9,31,7,101.11,0.6019300817056311,2.46986,3.16404855773854,0,1,1,0,3,3,0,1,1
721,8.42,0.4545454545454545,9,2,4,9,31,7,101.11,0.6019300817056311,2.46986,3.16404855773854,0,1,1,0,3,3,0,1,1
722,7.07,0.4782608695652174,9,1,4,9,32,7,98.31,0.6043270626827675,3.2853600000000016,3.259086351776835,0,1,1,0,3,3,0,1,1
723,8.4,0.4545454545454545,9,1,4,9,31,6,92.32,0.650854218739873,2.4219600000000003,3.1562518673599538,0,1,1,0,3,3,0,1,1
724,8.43,0.4545454545454545,9,1,4,9,31,6,92.32,0.650854218739873,2.4219600000000003,3.1562518673599538,0,1,1,0,3,3,0,1,1
725,8.07,0.4,8,1,4,8,28,5,89.08,0.7320841275627801,2.8818600000000014,2.5215781215857405,0,1,1,0,3,3,0,1,1
726,8.27,0.4545454545454545,8,1,4,8,30,5,89.08,0.6948316142698506,3.517960000000002,2.69043928160697,0,1,1,0,3,3,0,1,1
727,7.82,0.4545454545454545,9,1,4,9,31,6,98.31,0.6495636904583221,2.89686,2.678409822483518,0,1,1,0,3,3,0,1,1
728,8.22,0.4285714285714285,9,1,4,9,30,5,98.31,0.6899694437176295,2.5083600000000006,2.639086018426921,0,1,1,0,3,3,0,1,1
729,8.24,0.4,9,1,4,9,29,5,98.31,0.705221481909347,2.11826,2.582564087415573,0,1,1,0,3,3,0,1,1
730,8.44,0.4090909090909091,10,1,4,10,32,5,109.39,0.6496510176724742,1.9501599999999992,2.6169448193190146,0,1,1,0,3,3,0,1,1
731,8.54,0.5,9,1,4,9,33,7,92.32,0.59013773508072,3.059660000000002,2.727046008177277,0,1,1,0,3,3,0,1,1
732,8.82,0.5,9,1,4,9,33,7,92.32,0.59013773508072,3.059660000000001,3.19510540664006,0,1,1,0,3,3,0,1,1
733,8.0,0.5,9,1,4,9,33,7,92.32,0.59013773508072,3.059660000000001,3.19510540664006,0,1,1,0,3,3,0,1,1
734,8.0,0.4545454545454545,9,1,4,9,31,5,92.32,0.673684161833247,2.42356,2.6291883189870138,0,1,1,0,3,3,0,1,1
735,7.96,0.4545454545454545,9,1,4,9,31,6,92.32,0.6508606499799218,2.42356,2.59295702528072,0,1,1,0,3,3,0,1,1
736,6.39,0.0,3,2,3,3,19,2,51.8,0.7547569827827337,3.392800000000002,1.6416365808871554,0,0,0,2,1,3,0,0,0
737,6.8,0.04,5,1,4,5,30,4,78.67,0.516559790084927,5.243000000000004,2.071990213109544,0,0,0,3,1,4,0,0,0
