,molecule_chembl_id,Ki,units,pKi,smiles,molecular_weight,n_hba,n_hbd,logp,passed
198,CHEMBL164905,140.0,nM,6.85,CCCn1cc2c(nc(NC(=O)Nc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,436.11629946400006,10,2,4.4414000000000025,True
199,CHEMBL352796,40.0,nM,7.4,CCn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,388.13962175200004,10,2,3.397900000000001,True
200,CHEMBL166301,667.0,nM,6.18,CCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,446.14510105600004,12,2,3.5167,True
201,CHEMBL165224,680.0,nM,6.17,Cn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,418.11380092800005,12,2,2.643700000000001,True
202,CHEMBL164686,140.0,nM,6.85,Cn1cc2c(nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1,442.1113563160001,10,2,3.9338000000000015,True
203,CHEMBL166684,24.0,nM,7.62,CCCCn1cc2c(nc(NC(=O)Nc3ccc(C)cc3)n3nc(-c4ccco4)nc23)n1,430.1865719440001,10,2,4.486520000000002,True
204,CHEMBL165560,100.0,nM,7.0,CCCn1cc2c(nc(NC(=O)Nc3ccccc3OC)n3nc(-c4ccco4)nc23)n1,432.16583650000007,11,2,3.7966000000000015,True
205,CHEMBL165910,614.0,nM,6.21,CCn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,433.1246999600001,13,2,3.3061000000000007,True
206,CHEMBL65271,1040.0,nM,5.98,CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,418.15018643600007,11,2,3.406500000000001,True
207,CHEMBL572765,120.0,nM,6.92,Cn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,392.11454987600007,10,2,3.054100000000001,True
208,CHEMBL351211,180.0,nM,6.75,COc1ccccc1NC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,404.13453637200007,11,2,2.9236000000000004,True
209,CHEMBL164275,352.0,nM,6.45,CCn1cc2c(nc(NC(=O)Nc3ccc(Cl)c(Cl)c3)n3nc(-c4ccco4)nc23)n1,456.0616770480001,10,2,4.7047000000000025,True
210,CHEMBL279391,5660.0,nM,5.25,O=C(CCc1ccccc1)Nc1nc(NC2CCCC2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,482.22776805999996,11,5,1.3635999999999997,True
211,CHEMBL352707,495.0,nM,6.3,CCCCn1cc2c(nc(NC(=O)Nc3ccc(Cl)c(Cl)c3)n3nc(-c4ccco4)nc23)n1,484.09297717600003,10,2,5.484900000000003,True
212,CHEMBL349240,148.0,nM,6.83,CCCCn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,416.17092188000004,10,2,4.1781000000000015,True
213,CHEMBL349954,31.0,nM,7.51,CCCCn1cc2c(nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1,484.1583065080001,10,2,5.196900000000004,True
214,CHEMBL138332,1220.0,nM,5.91,CCCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,436.11629946400006,10,2,4.4414000000000025,True
215,CHEMBL144979,9.4,nM,8.03,COc1ccc(NC(=O)Nc2nc3ccc(Cl)cc3c3nc(-c4ccco4)nn23)cc1,434.0894160200001,9,2,4.843500000000003,True
216,CHEMBL351285,110.0,nM,6.96,Cc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,388.139621752,10,2,3.223420000000001,True
217,CHEMBL352073,160.0,nM,6.8,CCn1cc2c(nc(NC(=O)Nc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,422.10064940000007,10,2,4.051300000000002,True
218,CHEMBL36098,2180.0,nM,5.66,O=C(CCC1CCCC1)Nc1nc(NC2CCCC2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,474.25906818799996,11,5,1.7011999999999998,True
219,CHEMBL164647,133.0,nM,6.88,CCn1cc2c(nc(NC(=O)Nc3ccccc3OC)n3nc(-c4ccco4)nc23)n1,418.15018643600007,11,2,3.406500000000001,True
